length,radius
12.17947908,12.3139255
10.91437578,68.83670521
17.78710813,17.14489604
8.648962427,-104.7898011
17.075696,-17.96314465
12.00955033,-919.2797583
12.72861948,15.19696754
10.60677498,-175.8591901
16.77132523,-50.43874677
62.62213502,-1680.442409
37.39061207,-74.59326303
15.97244664,14.07510762
33.06476674,-788.5830965
18.41447859,-17.2640866
32.50652185,2545.351323
14.25033183,18.27664245
17.53380037,-26.86115179
11.27004722,16.46541517
15.3202179,-21.55428282
30.77533625,22.42842549
13.40442841,-12.32020206
9.156290737,23.46187464
9.527173437,-34.8433963
69.68861577,-1062.562399
11.96478154,-8.499051075
5.704579361,10.35924562
12.94328961,14.96163767
22.52929944,185.4129571
11.19706439,5.416907051
11.63231706,37.51126154
8.999403912,-8.045118683
3.956887867,13.79229162
8.211990829,6.115592809
28.49852092,-147.6271734
35.57533058,45.31405317
11.81732729,145.3155973
13.7089829,-13.27306116
10.32282147,50.26026229
11.90037201,22.63976679
25.90760209,-158.5960935
90.68127719,-1076.555779
6.3242062,-10.93394909
4.715406131,9.056912416
5.908849371,10.63215139
10.14241763,-9.425247644
10.94441718,11.7490227
10.98863963,-21.70937144
31.53852565,204.0946566
10.31031491,9.79160323
1.596152056,5.59890536
7.268822869,-10.20738835
11.51986318,-19.88553801
13.45348592,-14.3831463
4.232082942,291.7619662
13.77292875,16.09881556
35.88489682,195.7306137
3.54458646,10.86315305
11.16292605,-12.2987712
13.07132477,14.77376152
6.72011191,-7.312502277
8.186978716,-256.097042
8.629779535,8.070782315
15.31414558,-200.3860077
8.645072427,-8.143205929
11.34369534,2222.225797
11.49726293,8.22069146
8.324363846,-327.6188233
7.975859441,-6.255918914
9.010181386,305.1697551
4.529818772,7.022515234
9.067215305,6.401259729
19.11813863,623.4639611